time,node_id,vehicles_in_range
38.0,rsu1,0
38.0,rsu2,0
38.0,rsu3,0
38.0,rsu4,0
38.0,rsu5,1
38.0,edge1,4
38.0,edge2,0
39.0,rsu1,0
39.0,rsu2,0
39.0,rsu3,0
39.0,rsu4,0
39.0,rsu5,1
39.0,edge1,4
39.0,edge2,0
40.0,rsu1,0
40.0,rsu2,0
40.0,rsu3,0
40.0,rsu4,0
40.0,rsu5,1
40.0,edge1,4
40.0,edge2,0
41.0,rsu1,0
41.0,rsu2,0
41.0,rsu3,1
41.0,rsu4,0
41.0,rsu5,1
41.0,edge1,5
41.0,edge2,0
42.0,rsu1,0
42.0,rsu2,0
42.0,rsu3,1
42.0,rsu4,0
42.0,rsu5,1
42.0,edge1,5
42.0,edge2,0
43.0,rsu1,0
43.0,rsu2,1
43.0,rsu3,1
43.0,rsu4,0
43.0,rsu5,1
43.0,edge1,4
43.0,edge2,0
44.0,rsu1,0
44.0,rsu2,1
44.0,rsu3,1
44.0,rsu4,0
44.0,rsu5,1
44.0,edge1,4
44.0,edge2,0
45.0,rsu1,1
45.0,rsu2,1
45.0,rsu3,1
45.0,rsu4,0
45.0,rsu5,1
45.0,edge1,4
45.0,edge2,0
46.0,rsu1,1
46.0,rsu2,1
46.0,rsu3,1
46.0,rsu4,0
46.0,rsu5,1
46.0,edge1,4
46.0,edge2,0
47.0,rsu1,1
47.0,rsu2,1
47.0,rsu3,1
47.0,rsu4,0
47.0,rsu5,1
47.0,edge1,4
47.0,edge2,0
48.0,rsu1,1
48.0,rsu2,1
48.0,rsu3,1
48.0,rsu4,0
48.0,rsu5,1
48.0,edge1,4
48.0,edge2,0
49.0,rsu1,1
49.0,rsu2,1
49.0,rsu3,1
49.0,rsu4,0
49.0,rsu5,1
49.0,edge1,4
49.0,edge2,0
50.0,rsu1,1
50.0,rsu2,1
50.0,rsu3,1
50.0,rsu4,0
50.0,rsu5,1
50.0,edge1,4
50.0,edge2,0
51.0,rsu1,1
51.0,rsu2,1
51.0,rsu3,1
51.0,rsu4,0
51.0,rsu5,1
51.0,edge1,5
51.0,edge2,0
52.0,rsu1,1
52.0,rsu2,0
52.0,rsu3,1
52.0,rsu4,0
52.0,rsu5,0
52.0,edge1,5
52.0,edge2,0
53.0,rsu1,1
53.0,rsu2,0
53.0,rsu3,1
53.0,rsu4,0
53.0,rsu5,0
53.0,edge1,5
53.0,edge2,0
54.0,rsu1,1
54.0,rsu2,0
54.0,rsu3,1
54.0,rsu4,0
54.0,rsu5,0
54.0,edge1,5
54.0,edge2,0
55.0,rsu1,1
55.0,rsu2,0
55.0,rsu3,1
55.0,rsu4,0
55.0,rsu5,0
55.0,edge1,5
55.0,edge2,0
56.0,rsu1,1
56.0,rsu2,0
56.0,rsu3,1
56.0,rsu4,0
56.0,rsu5,0
56.0,edge1,5
56.0,edge2,0
57.0,rsu1,1
57.0,rsu2,0
57.0,rsu3,1
57.0,rsu4,0
57.0,rsu5,0
57.0,edge1,5
57.0,edge2,0
58.0,rsu1,1
58.0,rsu2,0
58.0,rsu3,1
58.0,rsu4,0
58.0,rsu5,0
58.0,edge1,5
58.0,edge2,0
59.0,rsu1,1
59.0,rsu2,0
59.0,rsu3,1
59.0,rsu4,0
59.0,rsu5,0
59.0,edge1,5
59.0,edge2,0
60.0,rsu1,1
60.0,rsu2,0
60.0,rsu3,1
60.0,rsu4,0
60.0,rsu5,0
60.0,edge1,5
60.0,edge2,0
61.0,rsu1,2
61.0,rsu2,0
61.0,rsu3,1
61.0,rsu4,0
61.0,rsu5,0
61.0,edge1,6
61.0,edge2,1
62.0,rsu1,2
62.0,rsu2,0
62.0,rsu3,1
62.0,rsu4,0
62.0,rsu5,0
62.0,edge1,6
62.0,edge2,1
63.0,rsu1,2
63.0,rsu2,0
63.0,rsu3,1
63.0,rsu4,0
63.0,rsu5,0
63.0,edge1,6
63.0,edge2,1
64.0,rsu1,2
64.0,rsu2,0
64.0,rsu3,0
64.0,rsu4,0
64.0,rsu5,0
64.0,edge1,6
64.0,edge2,1
65.0,rsu1,3
65.0,rsu2,0
65.0,rsu3,0
65.0,rsu4,0
65.0,rsu5,0
65.0,edge1,5
65.0,edge2,1
66.0,rsu1,3
66.0,rsu2,0
66.0,rsu3,0
66.0,rsu4,0
66.0,rsu5,0
66.0,edge1,5
66.0,edge2,1
67.0,rsu1,3
67.0,rsu2,0
67.0,rsu3,0
67.0,rsu4,0
67.0,rsu5,0
67.0,edge1,5
67.0,edge2,1
68.0,rsu1,3
68.0,rsu2,0
68.0,rsu3,0
68.0,rsu4,0
68.0,rsu5,0
68.0,edge1,5
68.0,edge2,1
69.0,rsu1,4
69.0,rsu2,0
69.0,rsu3,0
69.0,rsu4,0
69.0,rsu5,0
69.0,edge1,5
