time,veh_id,x,y,speed_mps,angle_deg
1.0,0,1172.760222392638,1149.6456211656441,0.0,86.45189595029895
2.0,0,1174.749655573868,1149.7689767228667,1.993254604935646,86.45189595029913
3.0,0,1178.1708063963986,1149.981106474214,3.427722376165912,86.45189595029895
4.0,0,1184.0181917539821,1150.3436758160171,5.858617369411514,86.45189595029895
5.0,0,1191.8661749062521,1150.8302929811252,7.863058033469133,86.45189595029895
6.0,0,1202.019678741762,1151.4598648286287,10.173007300426253,86.45189595029895
7.0,0,1213.8593292525572,1152.193986838787,11.862392828334123,86.45189595030172
8.0,0,1227.98774568345,1153.0700246459119,14.1555551485857,86.45189595029895
9.0,0,1241.9979198386347,1153.9387307959876,14.037085745955446,86.45189595029895
10.0,0,1255.6827681454147,1154.7872649937265,13.711134991963954,86.45189595029895
11.0,0,1269.950568017844,1155.671945323888,14.295206326275693,86.45189595029895
11.0,1,1031.1966284411585,655.4119047395676,0.0,80.27023999877976
12.0,0,1284.3500629490964,1156.5647914560063,14.42715435294118,86.45189595029913
12.0,1,1033.667995980672,655.8356646057393,2.507441041059792,80.27023999877976
13.0,0,1298.8729947531422,1157.473074721208,14.551201567176358,86.36287788166885
13.0,1,1038.2599762754016,656.6230411994858,4.65900747932028,80.27023999877976
14.0,0,1312.8496674192472,1158.4990081056644,14.015103212982977,85.46534393372883
14.0,1,1044.200031755357,657.6930138640517,6.035820490145124,79.68918350989884
15.0,0,1326.9628487923897,1159.6169394414785,14.153024383477495,85.4722540891775
15.0,1,1052.476719127092,659.2356155285681,8.419235067791304,79.44239817395975
16.0,0,1336.7878745426149,1160.3949732327167,9.85133607166813,85.4722540891773
16.0,1,1062.2725467510418,661.0613532083099,9.964539162279104,79.44239817395975
17.0,0,1342.6173486656576,1160.8592908742344,5.845974549667385,85.44156321034566
17.0,1,1073.8347360252576,663.2163038085667,11.76132249846123,79.44239817395975
18.0,0,1348.9769716508395,1161.795569761,6.549549482090585,82.0140682359058
18.0,1,1085.6026316088164,665.4583929316425,11.980905800045349,78.89252984339791
19.0,0,1352.6162525868478,1156.8885189327834,6.418357601718233,150.53115277006665
19.0,1,1097.1229115693386,668.3059534931814,11.867018905340576,76.11603112045793
20.0,0,1355.280440678059,1148.8008050844637,8.515886934407241,161.76750891929697
20.0,1,1108.9829123324291,671.2374855868916,12.21696467058535,76.11603112045859
21.0,0,1358.4496137502886,1139.1801011151956,10.130035355876386,161.76750891929697
21.0,1,1121.1271225506089,674.2392680250641,12.509728300304033,76.11603112045859
21.0,2,1178.8788145336528,1053.3251640189187,0.0,87.57887587897075
22.0,0,1362.5075350883521,1127.3800776350777,12.479134820171817,160.0501643526564
22.0,1,1133.303167475298,677.0333540795222,12.495008205285178,78.42291963972774
22.0,2,1180.2533395830828,1053.383281352884,1.3775463235564531,87.57887587897062
23.0,0,1367.2351695612372,1114.5962145033677,13.629578138706648,159.1089658676648
23.0,1,1144.7254268328722,679.373245896527,11.659492481954278,78.42291963972826
23.0,2,1184.1410857534681,1053.5476620912711,3.896291628992185,87.57887587896813
24.0,0,1371.6912862807467,1101.77179571637,13.573810699377582,161.21639962140284
24.0,1,1156.4669788731399,681.7759146566708,11.98493812443956,78.45245945578483
24.0,2,1190.3724620804805,1053.811135630157,6.245073200762272,87.57887587897062
25.0,0,1376.0271210220058,1088.2512990864782,14.196051199366712,162.74875748816916
25.0,1,1167.6575270136916,683.8508508856347,11.382273058488847,79.8136455562579
25.0,2,1198.810690931667,1054.1679187709399,8.456776496069505,87.57887587896803
26.0,0,1379.021507309703,1077.2071085614764,11.443284065648983,164.8952771866706
26.0,1,1179.4522391229739,685.8847459220648,11.969858707895384,80.77709717602528
26.0,2,1208.6133960004026,1054.5823943634214,9.824251899914815,87.57887587897062
27.0,0,1381.1637666640731,1069.2701437059784,8.22118540350355,164.89527718667242
27.0,1,1190.805054608834,687.5617955462802,11.476066909695858,81.59697881801384
27.0,2,1220.744752111496,1055.095329413134,12.158021432580425,87.57887587897062
28.0,0,1381.7958336087931,1063.6268424532125,5.894686619703844,175.7628160446989
28.0,1,1202.6977368889245,689.1559352957474,11.992216920724951,82.83888809189042
28.0,2,1234.5672410806735,1055.0688657596602,13.858629536419173,93.49837561114005
29.0,0,1377.0173813972249,1058.3219420546382,5.640225754002295,222.3699363736488
29.0,1,1214.6547459711137,690.4572267070553,12.02728616875864,83.78889663565116
29.0,2,1250.3772627880815,1054.102333312264,15.86018365304917,93.49837561114249
30.0,0,1369.7355560665019,1057.8434131094284,7.281607695109398,266.2401840734689
30.0,1,1226.7502364188015,691.3430992094242,12.130556945025802,86.61322137185346
30.0,2,1267.5374654202371,1053.0532586838528,17.214648424043737,93.49837561113988
31.0,0,1360.0724280358916,1057.2083956167123,9.662839223792965,266.2401840734717
31.0,1,1238.4238897283042,692.0339387661411,11.693761381542192,86.61322137185346
31.0,2,1283.5438881413004,1052.0747194248333,16.057207806707346,93.49837561114265
31.0,3,1312.125920994728,414.5003977906959,0.0,183.64337415519117
32.0,0,1348.9937273376777,1056.8320495501641,11.067621755692365,270.25184795827397
32.0,1,1248.684032726336,692.6411276600278,10.277816273832626,86.61322137185346
32.0,2,1295.0645432798642,1051.3704138133196,11.557207806707346,93.49837561114005
32.0,3,1312.034309028063,413.0616484106051,1.4416886697057636,183.64337415519117
33.0,0,1335.363846188538,1056.8919611156548,13.600270505970531,270.25184795827136
33.0,1,1254.451913724249,692.982467277211,5.7778162738326255,86.61322137185346
33.0,2,1302.0769683931517,1050.7659564855298,7.057207806707346,95.51521400659519
33.0,3,1311.836338231822,409.95255283349496,3.1154472965048625,183.64337415519117
34.0,0,1323.4117394416119,1056.9445940732674,11.933306439812252,270.2529497737892
34.0,1,1257.028532023252,693.782454661069,2.8143454569169135,78.95186840200961
34.0,2,1306.4712609145452,1046.322969742117,6.718849500963449,144.65308235679277
34.0,3,1311.4769076688322,404.3077607990676,5.656324048852548,183.64337415519117
35.0,0,1315.8183386104893,1056.9778238488625,7.59340083112238,270.2501983201985
35.0,1,1256.3413145353627,696.0260809590203,3.0064546273565664,19.659345101431164
35.0,2,1307.2209470081693,1039.5675322754882,6.815217992263831,175.47122340521872
35.0,3,1310.9928578469862,396.7058458258618,7.617445287271403,183.64337415519117
36.0,0,1312.7631004590821,1056.5067827715316,3.0934008311223797,264.67229997683285
36.0,1,1253.1495964718652,696.1162595282524,3.2652521535531434,285.9089211756208
36.0,2,1307.5093801647552,1035.878348590121,3.7013014784546767,175.51154358119462
36.0,3,1304.559065658391,394.10181312023184,9.450504052452743,275.33452217145054
37.0,0,1309.0004121254824,1054.3673568380807,4.4568104399344515,242.4880616551224
37.0,1,1248.1787243371055,695.8213993963742,4.979378244305105,266.6053304499261
37.0,2,1308.1399318136469,1029.7026675229483,6.208187114726586,173.84055944853432
37.0,3,1292.617415526492,395.21686398468427,11.993808667873964,275.3345221714508
38.0,0,1306.9168298966968,1047.9101127506033,6.986681971347389,192.65872029452115
38.0,1,1240.6899957169871,695.3771860976481,7.501543261949979,266.6053304499274
38.0,2,1309.5062012989558,1022.3179208438535,7.512818026332949,168.5186953939882
38.0,3,1279.1235812600005,396.4768499495583,13.55277240588215,275.33452217145054
39.0,0,1307.2497698355241,1039.2045204498838,8.733128693094512,175.46868766785283
39.0,1,1231.180625287968,694.8131132060579,9.525642774068826,266.6053304499263
39.0,2,1311.3817415747735,1014.4482403619531,8.090727597650348,166.46701732829922
39.0,3,1265.122762368279,398.52680048333815,14.197256331610278,283.85799415706583
40.0,0,1307.5787147417318,1034.9844277941008,4.233128693094512,175.53029166444446
40.0,1,1220.3709946797414,694.1719120203732,10.828127946239972,266.6053304499276
40.0,2,1313.4081606009113,1005.8629101523399,8.822176980425812,166.73200009674525
40.0,3,1251.8198264753282,402.2342734610965,13.810149201959156,285.5729328688207
41.0,0,1309.9884000586808,1033.63930393116,3.386674759170041,139.3709938840975
41.0,1,1208.849120392385,693.0440626169924,11.578826191544414,263.7843641002975
41.0,2,1315.1921937815762,998.2970468095193,7.774178155360952,166.7320000967475
41.0,3,1239.3650024327485,407.4067400271611,13.55035170845107,296.9937769296812
41.0,4,684.0876660361658,1191.5887711532928,0.0,129.45897519381452
42.0,0,1310.6786191747494,1036.3960170684077,2.998508177749813,43.062762481526335
42.0,1,1197.609787436601,691.7443487471679,11.315566024359198,262.92256594937635
42.0,2,1316.9708817608366,990.273387972477,8.220007514872796,167.7062416517043
42.0,3,1226.434976721523,413.993148320674,14.511161383962042,296.9937769296812
42.0,4,685.4951266261534,1190.4302417546664,1.822919704974629,129.45897519381452
43.0,1,1185.6064995240854,690.0320125254672,12.125747042184576,261.58895215855483
43.0,2,1318.6332251988215,982.6440815681938,7.809729774564713,167.7089714237365
43.0,3,1214.277535696609,420.18601074668373,13.644101927451574,296.9937769296812
43.0,4,688.0857926238797,1188.297775139445,3.355387802585028,129.45897519381452
44.0,1,1174.4366975631458,688.3222671569199,11.300072259398059,260.9299214546412
44.0,2,1320.2609993289566,974.6099686585665,8.196486274747386,168.54646938174906
44.0,3,1201.8805022797476,426.5009188168885,13.912992643028282,296.9937769296812
44.0,4,692.5485242586875,1184.6243466726837,5.7800562893040475,129.4589751938137
45.0,1,1162.759104058973,686.2232566789546,11.864137917536192,259.8100769375368
45.0,2,1322.0304441205637,965.8766198603857,8.909854063799813,168.54646938174906
45.0,3,1189.8027135210018,433.44064558907564,13.931261900368861,300.1176573178522
45.0,4,698.1267934462504,1180.0326807367294,7.224882099009118,129.45897519381452
46.0,1,1150.9755740061435,683.9251658808474,12.00627522988978,258.445337545642
46.0,2,1323.4636939434645,957.611980877816,8.389183474623806,171.16789786914237
46.0,3,1177.8808045159533,440.3564440622559,13.782848684744694,300.11765731785164
46.0,4,705.0672211413886,1174.3197751100577,8.989127295231446,129.4589751938125
47.0,1,1139.444196271739,681.5589123806633,11.771846330224419,258.4038066880841
47.0,2,1324.792983937266,948.8478581452708,8.865698215121611,171.53599206025322
47.0,3,1165.6367633757309,447.4962423907059,14.175136846000113,300.48582457405405
47.0,4,713.1113810331078,1167.698349410393,10.418663002643733,129.45897519381452
48.0,1,1127.6021863828319,679.1289167639869,12.088956225698695,258.4038066880836
48.0,2,1325.3337923006654,940.0342130236396,8.847317412694194,178.66263003591686
48.0,3,1153.7415795018894,455.68344176730386,14.440672639500134,304.5388008320466
48.0,4,722.6416072476294,1159.8536912198701,12.343391554197295,129.45897519381452
49.0,1,1116.5262819104546,676.3963457497136,11.40826692258741,256.12232378272057
49.0,2,1323.372336970894,932.6328036479441,7.889471678331702,202.03270656170386
49.0,3,1142.7194850473795,463.26971246339735,13.380747999133327,304.5388008320466
49.0,4,733.8332647062691,1150.641451617974,14.495249854819846,129.45897519381452
50.0,1,1104.6024097596571,673.4504155939969,12.282596297783659,256.12232378272057
50.0,2,1317.686434590521,927.3133451045964,7.915759052581362,229.34277835422165
50.0,3,1131.9440837431846,472.17214996220486,14.100453756562219,318.7788151342591
50.0,4,746.2045062847094,1140.458255606596,16.023027720116076,129.45897519381452
51.0,1,1093.5088133612787,670.7096146400762,11.427342085575566,256.12232378271995
51.0,2,1309.721224454732,924.8437548348659,8.339450254769273,252.77410203310254
51.0,3,1123.3601222010386,482.7596234043314,13.630318280261726,320.9660425864696
51.0,4,759.6178327847521,1129.2287797728238,17.496406440553255,131.12754192009555
51.0,5,1159.610913436913,1138.073061294178,0.0,176.05380399949414
52.0,1,1081.8359355132277,667.9641750934062,11.994728827395358,257.6637159704688
52.0,2,1301.2198535822083,922.206966243288,8.901087493508332,252.7635695543665
52.0,3,1116.4351457086739,495.30600676607094,14.458950445124664,336.8455118598838
52.0,4,774.200558564324,1115.8561474118949,19.7856380778132,132.52140573618917
52.0,5,1159.7151260483326,1136.5623663167248,1.5145738587714732,176.05380399949414
53.0,1,1069.5771889923342,665.678740674874,12.470171171718158,259.43941657676805
53.0,2,1293.6016423153185,919.8434268268987,7.976602634054817,252.7635695543665
53.0,3,1111.206469284042,508.1041104616482,13.852150727201968,339.43548627820917
53.0,4,789.2438978206055,1102.0611238754316,20.41059199121055,132.52140573618723
53.0,5,1159.969404020214,1132.8762821685132,3.6955485888523985,176.05380399949152
54.0,1,1057.7156366235258,663.4673563384174,12.066126675287142,259.43941657676805
54.0,2,1285.3328929422585,917.278058870721,8.657744675072118,252.7635695543652
54.0,3,1109.2802676585163,520.857543229188,12.89830214977909,351.4113045047117
54.0,4,798.2825261714044,1088.5243763705143,16.343528890132163,148.21457353933224
54.0,5,1160.3923077078257,1126.745752781345,6.14627021921333,176.05380399949414
55.0,1,1046.3881097030965,661.3555319478344,11.52289097496576,259.43941657676856
55.0,2,1277.6415679552042,914.8918360246614,8.053155918338545,252.7635695543665
55.0,3,1108.026085281277,529.1615184799558,8.39830214977909,351.41130450470894
55.0,4,804.5210752065706,1078.4569099800942,11.843528890132163,148.21457353933334
55.0,5,1160.950778489073,1118.6500051286237,8.116534406365826,176.05380399949414
56.0,1,1034.0147938757038,659.1439379636334,12.569967451633767,260.2953598575951
56.0,2,1270.3089067119415,912.6168881046942,7.677619186258121,252.7635695543652
56.0,3,1107.4439221523241,533.0160362139519,3.8983021497790897,351.4113045047117
56.0,4,808.3892605673055,1072.2146209651976,7.343528890132163,148.21457353933224
56.0,5,1161.6283054776218,1108.8283856072794,9.846837647468782,176.05380399949414
57.0,1,1022.2402004993822,657.0947525783743,11.951098413055645,259.89402653703604
57.0,2,1263.1571238868437,909.8274086831558,7.695996461355015,246.49441439856432
57.0,3,1106.3988882110393,538.3329744167606,5.426702175598518,348.6641217374247
57.0,4,814.719082205695,1065.9944014558555,9.246230686886426,122.90304976589097
57.0,5,1162.3427577829693,1098.4714864314956,10.383491693352498,176.05380399949414
58.0,1,1010.765375612958,655.0055761553435,11.661306023609706,259.63954739345274
58.0,2,1260.552669322498,903.1508194257498,7.677899088629409,189.62930209360127
58.0,3,1103.0974202177742,544.8751760239217,7.3764518303162605,329.62154427438304
58.0,4,821.162234275564,1062.0481667482552,7.65416567328616,126.607185613472
58.0,5,1163.0952851228358,1087.5626409736815,10.936855160290525,176.05380399949152
59.0,1,998.4585679583694,652.637371490393,12.536893889808908,259.10768985687605
59.0,2,1262.9564185732113,896.62959616165,6.967067182425297,158.00851190810937
59.0,3,1097.5878954524755,552.4610898213368,9.381532385276557,323.20165280482144
59.0,4,828.5122390788181,1056.4472578179518,9.245690565190715,126.50799652043466
59.0,5,1163.9278705517445,1076.8456204192364,10.747676100090668,175.3805027532799
60.0,1,986.1724725866882,650.292078764448,12.508174575388313,259.3205616009968
60.0,2,1266.5254750915722,888.6144064698841,8.773011233506933,155.99723103415965
60.0,3,1089.6707685809445,561.2906678689816,11.857363777358012,318.11870067246036
60.0,4,839.1571231002482,1052.6166418931482,11.238093888836419,108.52512295345181
60.0,5,1164.436975490838,1070.6155379826537,6.247676100090668,175.31531345798672
61.0,1,973.9954105417158,648.9858368435907,12.246134860522927,264.49048305615247
61.0,2,1269.728982612695,881.4201464942562,7.874464112532533,155.99723103415783
61.0,3,1080.8620614234835,571.1146619708904,13.19291008089848,318.11931933501916
61.0,4,847.2676696541602,1041.777348778851,12.03909656372995,153.5560807490915
61.0,5,1164.1765137620532,1065.363549152013,5.278034021689854,183.2682748476466
61.0,6,872.3026062048954,930.2736596979391,0.0,175.81021029465037
62.0,1,962.7381327418907,649.1120680195463,11.310809720366143,276.79157359747217
62.0,2,1271.8272448389228,873.4485040003983,8.293847023195795,169.66164287638497
62.0,3,1071.5875321211518,581.4604428367588,13.897317581017285,318.1251958282088
62.0,4,846.3122952722268,1029.7179037616424,11.765199075799218,201.08516644641674
62.0,5,1160.327975019008,1062.3595162223855,5.166528216640763,232.91626811994857
62.0,6,872.4614759483642,928.1049744523185,2.174509391002357,175.81021029465037
63.0,1,950.9277648595279,650.5783897602257,11.901553720666909,277.42041168371406
63.0,2,1273.3949960088921,864.8544348338467,8.735004305735439,169.66164287638497
63.0,3,1062.5140975997888,591.6040050295322,13.608505623926193,318.18743079365095
63.0,4,847.3914032966901,1017.6587806617983,12.355647312815936,168.2217891561185
63.0,5,1156.2001649172541,1062.0176512777173,4.151998347400985,264.35910691897334
63.0,6,872.7222691084786,924.5449619153197,3.569573182379828,175.8102102946503
64.0,1,939.4366485534281,654.6269041861407,12.198418563802608,290.6444943111968
64.0,2,1274.9261963252368,856.4607294559896,8.531354727980888,169.66164287638497
64.0,3,1053.3976394417539,601.7957080939681,13.67305761969068,318.18743079365095
64.0,4,850.1319247636194,1003.8846278514899,14.106300143700727,163.66401436567912
64.0,5,1149.4945452564502,1061.7707619537223,6.710900715862698,267.89142088674896
64.0,6,873.0849336081658,919.5943329761064,4.963924175454305,175.81021029465037
65.0,1,928.1735181155468,658.8704218881614,12.035410995444165,290.64449431119726
65.0,3,1044.3302105930702,611.9325990643102,13.599522419924632,318.1874307936529
65.0,4,856.3958281098596,992.7342304105536,12.801097180827663,149.7771188490593
65.0,5,1141.0629950243235,1061.4603268496846,8.438190555207727,267.8914208867516
65.0,6,873.5969781195515,912.6045603945131,7.00854407080915,175.810210294649
66.0,1,916.999022074415,663.0805455321367,11.94069919226493,290.64449431119726
66.0,3,1035.0114147259023,622.3505046532872,13.976528014404483,318.18743079365095
66.0,4,861.7555732940718,981.1964356137693,12.795991715060689,162.18325522811213
66.0,5,1131.3296244434143,1057.9020750926093,9.86113066799782,267.88015532258635
66.0,6,874.2693742874392,903.4258733980424,9.20333695781883,175.8102102946491
67.0,1,905.7470705554424,667.3198514441458,12.023465570120953,290.64449431119726
67.0,3,1026.0675930550412,632.3492095396084,13.414133748658115,318.1874307936529
67.0,4,865.830682295419,968.2337694520028,13.59278749257154,163.17601763892816
67.0,5,1120.0435324328203,1057.484318585818,11.294980446908918,267.88015532258385
67.0,6,875.0952516911717,892.1520581261129,11.304091836628507,175.8102102946503
68.0,1,896.7736181012694,670.7007058653512,9.58873635795023,290.64449431119726
68.0,3,1023.0255125947962,640.4494630791837,8.914133748658115,348.52166108226504
68.0,4,868.5582165434176,955.6996001582083,12.828264116349771,167.71530955976036
68.0,5,1106.1459327633502,1057.0221762783858,13.894474391949657,268.47741518528755
68.0,6,876.0957031135068,878.4951830584938,13.69355149450712,175.8102102946491
69.0,1,891.066199076905,672.8510435353547,6.098760381076109,290.64449431119607
69.0,3,1021.9886491133938,645.555690349521,5.210044194608107,348.52166108226504
69.0,4,871.3184074346543,942.5291107841473,13.46406473658807,168.96939026549114
69.0,5,1091.3897382808218,1056.90889173106,14.688560581023543,270.13716525458403
69.0,6,877.0459811977497,865.5232098209415,13.006810315997035,175.81021029465037
70.0,1,886.1067006862195,675.8760753659288,5.874893010219351,303.2670812504134
70.0,3,1019.8940567101894,652.3202671714457,7.165771603271477,339.58818716473263
70.0,4,872.3416169130966,929.7411357229531,12.835396448283598,175.8102102946503
70.0,5,1077.3671063218542,1057.095643633235,14.022631958967745,270.7630139118885
70.0,6,878.0360087788688,852.0086276163585,13.55087649472586,175.8102102946491
71.0,1,884.47,681.9453387972032,6.48562329429926,350.6809682744377
71.0,3,1013.4091927079537,655.2138561545628,7.543356549731604,281.77396028782516
71.0,4,873.3007739447243,916.6479585244106,13.128339778113322,175.8102102946491
71.0,5,1063.6337768886256,1057.2785426355306,13.733329433228558,270.7630139118885
71.0,6,878.9927599343232,838.948292342563,13.09540965423982,175.81021029465037
71.0,7,1207.036205576818,823.3442044833242,0.0,74.13635373839864
72.0,1,884.7293898593432,690.0897219822868,8.151583751335533,2.9740265101079415
72.0,3,1005.8807354802177,654.0656226049484,7.6329213231486825,259.1076898568776
72.0,4,874.2352511615618,903.8916783902896,12.790537954697527,175.8102102946491
72.0,5,1049.9173002577531,1057.33,13.744113937302231,270.0
72.0,6,879.930502170676,826.147442364651,12.835227493704924,175.81021029465037
72.0,7,1208.68654330646,823.8131836619665,1.7155258354730905,74.13635373839935
73.0,1,885.2947379153738,700.1149553802034,10.041029085635932,3.227634193467695
73.0,3,996.2465549481259,652.2117128080753,9.814299730366244,259.10768985687736
