time,event,task_id,veh_id,info
212.0,generated,dep_1b9bb122,14,"{""kind"": ""dependent"", ""num_subtasks"": 12, ""deadline"": 264.05635329916623}"
214.0,generated,ind_a22492f4,21,"{""kind"": ""independent"", ""size"": 423803, ""cpu"": 99380023.07444896, ""deadline"": 217.5281931945328}"
215.0,generated,ind_e14b8675,13,"{""kind"": ""independent"", ""size"": 71664, ""cpu"": 36035031.908048496, ""deadline"": 401.55982429848575}"
215.0,generated,ind_25749ee4,17,"{""kind"": ""independent"", ""size"": 76153, ""cpu"": 17191809.31727023, ""deadline"": 238.32516285484928}"
219.0,generated,dep_555b1a4e,19,"{""kind"": ""dependent"", ""num_subtasks"": 8, ""deadline"": 290.61901387296183}"
221.0,generated,ind_0566b715,17,"{""kind"": ""independent"", ""size"": 189763, ""cpu"": 85549099.13267599, ""deadline"": 321.1820186030556}"
224.0,generated,ind_0f34f24d,19,"{""kind"": ""independent"", ""size"": 118225, ""cpu"": 98358949.50548153, ""deadline"": 277.003901667417}"
225.0,generated,ind_a0c040af,17,"{""kind"": ""independent"", ""size"": 170532, ""cpu"": 19829827.161607627, ""deadline"": 388.1337875949197}"
230.0,generated,ind_741efff1,17,"{""kind"": ""independent"", ""size"": 261547, ""cpu"": 72668496.60884605, ""deadline"": 250.6387267088145}"
233.0,generated,ind_f5c8c6b5,17,"{""kind"": ""independent"", ""size"": 371701, ""cpu"": 66059098.13516459, ""deadline"": 238.45875445116766}"
233.0,generated,ind_38187db2,22,"{""kind"": ""independent"", ""size"": 56577, ""cpu"": 93318736.45064718, ""deadline"": 234.21315631011652}"
234.0,generated,ind_6a23e032,8,"{""kind"": ""independent"", ""size"": 322835, ""cpu"": 54792244.25711989, ""deadline"": 403.34994590954284}"
236.0,generated,ind_a91833c2,23,"{""kind"": ""independent"", ""size"": 229366, ""cpu"": 5421794.450866015, ""deadline"": 239.86295164308208}"
247.0,generated,dep_ee9be3c8,8,"{""kind"": ""dependent"", ""num_subtasks"": 9, ""deadline"": 268.99568492473117}"
251.0,generated,dep_ec982998,22,"{""kind"": ""dependent"", ""num_subtasks"": 11, ""deadline"": 570.2798029726002}"
254.0,generated,ind_e692dadf,23,"{""kind"": ""independent"", ""size"": 122118, ""cpu"": 9186436.0656217, ""deadline"": 321.681097814885}"
260.0,generated,ind_29641031,21,"{""kind"": ""independent"", ""size"": 374298, ""cpu"": 36348632.83028686, ""deadline"": 304.8817788691851}"
262.0,generated,ind_9709fe72,20,"{""kind"": ""independent"", ""size"": 235706, ""cpu"": 53100071.27073467, ""deadline"": 447.1298148928753}"
263.0,generated,ind_845cbc1e,25,"{""kind"": ""independent"", ""size"": 344187, ""cpu"": 85925383.95219563, ""deadline"": 439.14934626694304}"
264.0,generated,ind_6bd5082c,22,"{""kind"": ""independent"", ""size"": 65778, ""cpu"": 63991307.98925559, ""deadline"": 440.46481915386505}"
268.0,generated,ind_b2d64efd,25,"{""kind"": ""independent"", ""size"": 134103, ""cpu"": 80714375.38512726, ""deadline"": 301.2682662161445}"
275.0,generated,ind_40463853,20,"{""kind"": ""independent"", ""size"": 365523, ""cpu"": 38729356.57778684, ""deadline"": 301.57549420132824}"
276.0,generated,ind_47e504fb,26,"{""kind"": ""independent"", ""size"": 217237, ""cpu"": 89722967.0718774, ""deadline"": 279.1975485822177}"
277.0,generated,ind_5c095e42,27,"{""kind"": ""independent"", ""size"": 96053, ""cpu"": 60729408.55112964, ""deadline"": 349.8187544274963}"
278.0,generated,ind_f49362d9,20,"{""kind"": ""independent"", ""size"": 279873, ""cpu"": 30594544.966346707, ""deadline"": 455.01141172323617}"
282.0,generated,ind_8da64346,17,"{""kind"": ""independent"", ""size"": 171250, ""cpu"": 55025574.922130644, ""deadline"": 291.7758780432603}"
285.0,generated,ind_14c2d11c,25,"{""kind"": ""independent"", ""size"": 287894, ""cpu"": 28893539.37006238, ""deadline"": 387.9691967880053}"
285.0,generated,ind_92ef9e0f,28,"{""kind"": ""independent"", ""size"": 382471, ""cpu"": 62220170.97113176, ""deadline"": 294.2837326827142}"
290.0,generated,ind_8e5d8f8a,22,"{""kind"": ""independent"", ""size"": 259304, ""cpu"": 52066469.66057628, ""deadline"": 298.3345581973001}"
294.0,generated,ind_b527f448,24,"{""kind"": ""independent"", ""size"": 343808, ""cpu"": 93872093.97706573, ""deadline"": 302.0444167020742}"
296.0,generated,ind_bb3599fb,29,"{""kind"": ""independent"", ""size"": 70406, ""cpu"": 84458286.4682524, ""deadline"": 387.294260651884}"
297.0,generated,dep_7db5c0d2,27,"{""kind"": ""dependent"", ""num_subtasks"": 10, ""deadline"": 388.1872920937863}"
309.0,generated,dep_1f3f3227,17,"{""kind"": ""dependent"", ""num_subtasks"": 5, ""deadline"": 583.2726663441781}"
310.0,generated,ind_e23b46b9,24,"{""kind"": ""independent"", ""size"": 468933, ""cpu"": 25170302.058122907, ""deadline"": 413.6054151920508}"
